token	Agreement	Hate	Agreement_coordinate	Hate_coordinate	occurrences
popular	0.5454545454545454	0.5454545454545454	0.09090909090909083	0.09090909090909083	11
share	0.5396825396825397	0.4126984126984127	0.0793650793650793	-0.17460317460317465	63
men	0.5497076023391813	0.6842105263157895	0.09941520467836251	0.368421052631579	171
watch	0.6470588235294118	0.29411764705882354	0.2941176470588236	-0.41176470588235287	119
movie	0.5116279069767442	0.3023255813953488	0.023255813953488413	-0.39534883720930236	43
no	0.665948275862069	0.4525862068965517	0.3318965517241379	-0.09482758620689657	464
dude	0.5172413793103449	0.5517241379310345	0.034482758620689724	0.10344827586206895	29
wasn	0.6923076923076923	0.3076923076923077	0.3846153846153846	-0.3846153846153846	13
suddenly	0.625	0.375	0.25	-0.25	16
hear	0.6153846153846154	0.3333333333333333	0.23076923076923084	-0.3333333333333334	78
weird	0.7142857142857143	0.35714285714285715	0.4285714285714286	-0.28571428571428564	14
loud	0.5	0.5	0.0	0.0	10
noise	0.75	0.375	0.5	-0.25	16
at	0.6254681647940075	0.3913857677902622	0.25093632958801493	-0.2172284644194757	534
the	0.6512	0.45504	0.3024	-0.08992	3125
kitchen	0.7514619883040936	0.543859649122807	0.5029239766081872	0.08771929824561409	342
satan	0.25	0.25	-0.5	-0.5	8
that	0.627471383975026	0.47346514047866806	0.254942767950052	-0.05306971904266389	961
we	0.6437768240343348	0.4206008583690987	0.28755364806866957	-0.1587982832618025	466
re	0.6338028169014085	0.5422535211267606	0.267605633802817	0.08450704225352124	142
so	0.6217712177121771	0.4612546125461255	0.24354243542435428	-0.07749077490774908	542
my	0.6243425995492111	0.34485349361382417	0.24868519909842224	-0.3102930127723517	1331
gf	0.4666666666666667	0.35	-0.06666666666666665	-0.30000000000000004	60
ask	0.5689655172413793	0.42528735632183906	0.13793103448275867	-0.14942528735632182	174
if	0.6431535269709544	0.5103734439834025	0.2863070539419088	0.020746887966804906	482
she	0.5516840882694541	0.6689895470383276	0.10336817653890829	0.33797909407665516	861
still	0.660377358490566	0.44025157232704404	0.320754716981132	-0.11949685534591192	159
mad	0.5	0.45454545454545453	0.0	-0.09090909090909088	22
with	0.5997719498289624	0.4184720638540479	0.19954389965792485	-0.1630558722919042	877
cute	0.5333333333333333	0.5777777777777777	0.06666666666666665	0.15555555555555545	45
cat	0.7058823529411765	0.0784313725490196	0.41176470588235303	-0.8431372549019609	51
up	0.6666666666666666	0.42450142450142453	0.33333333333333326	-0.150997150997151	351
tonight	0.782608695652174	0.5217391304347826	0.5652173913043479	0.04347826086956519	23
national	0.7777777777777778	0.6111111111111112	0.5555555555555556	0.22222222222222232	18
female	0.4963235294117647	0.49264705882352944	-0.007352941176470562	-0.014705882352941124	272
generator	0.75	0.6666666666666666	0.5	0.33333333333333326	24
will	0.6089108910891089	0.4207920792079208	0.2178217821782178	-0.1584158415841585	404
play	0.6564885496183206	0.31297709923664124	0.3129770992366412	-0.37404580152671757	131
video	0.5970149253731343	0.31343283582089554	0.19402985074626855	-0.3731343283582089	67
game	0.676923076923077	0.2923076923076923	0.3538461538461539	-0.4153846153846153	130
s	0.634011090573013	0.5249537892791127	0.26802218114602594	0.049907578558225474	541
brain	0.6818181818181818	0.45454545454545453	0.36363636363636354	-0.09090909090909088	22
how	0.64	0.47	0.28	-0.06000000000000005	400
understand	0.72	0.48	0.43999999999999995	-0.040000000000000036	50
each	0.7105263157894737	0.3684210526315789	0.42105263157894735	-0.2631578947368421	38
other	0.6086956521739131	0.41304347826086957	0.21739130434782616	-0.1739130434782608	138
take	0.5777777777777777	0.4666666666666667	0.15555555555555545	-0.06666666666666665	225
too	0.6209150326797386	0.5490196078431373	0.24183006535947715	0.0980392156862746	153
far	0.6	0.44	0.19999999999999996	-0.12000000000000005	25
backwards	0.8181818181818182	0.6363636363636364	0.6363636363636365	0.2727272727272727	11
about	0.6384364820846905	0.4169381107491857	0.276872964169381	-0.16612377850162868	307
who	0.6161616161616161	0.41414141414141414	0.23232323232323226	-0.1717171717171717	396
learn	0.7209302325581395	0.5813953488372093	0.44186046511627897	0.16279069767441867	43
her	0.5287081339712919	0.5885167464114832	0.05741626794258381	0.17703349282296643	418
place	0.7142857142857143	0.5873015873015873	0.4285714285714286	0.17460317460317465	63
nothing	0.6440677966101694	0.559322033898305	0.2881355932203389	0.11864406779661008	59
beat	0.6071428571428571	0.5892857142857143	0.2142857142857142	0.1785714285714286	56
eat	0.552	0.352	0.10400000000000009	-0.29600000000000004	125
snack	0.7692307692307693	0.23076923076923078	0.5384615384615385	-0.5384615384615383	13
after	0.6301369863013698	0.3801369863013699	0.26027397260273966	-0.23972602739726018	292
dish	0.64	0.6	0.28	0.19999999999999996	25
teacher	0.803921568627451	0.21568627450980393	0.607843137254902	-0.5686274509803921	51
send	0.5714285714285714	0.44642857142857145	0.1428571428571428	-0.10714285714285715	56
test	0.8444444444444444	0.17777777777777778	0.6888888888888889	-0.6444444444444444	45
in	0.6293515358361774	0.43822525597269624	0.25870307167235485	-0.12354948805460753	1465
memeshappen	0.7857142857142857	0.07142857142857142	0.5714285714285714	-0.8571428571428572	14
boyfriend	0.43859649122807015	0.38596491228070173	-0.12280701754385964	-0.22807017543859653	57
like	0.641399416909621	0.6034985422740525	0.282798833819242	0.20699708454810506	686
music	0.5	0.09090909090909091	0.0	-0.8181818181818181	22
have	0.6327838827838828	0.43223443223443225	0.2655677655677655	-0.1355311355311355	1092
whisper	0.5454545454545454	0.8636363636363636	0.09090909090909083	0.7272727272727273	22
u	0.69	0.47	0.3799999999999999	-0.06000000000000005	100
shit	0.6721311475409836	0.39344262295081966	0.34426229508196715	-0.21311475409836067	122
and	0.6184807256235828	0.44387755102040816	0.2369614512471656	-0.11224489795918369	1764
one	0.6325966850828729	0.425414364640884	0.26519337016574585	-0.149171270718232	362
most	0.6197183098591549	0.39436619718309857	0.23943661971830976	-0.21126760563380292	71
planet	0.75	0.3333333333333333	0.5	-0.3333333333333334	24
clean	0.723404255319149	0.20851063829787234	0.44680851063829796	-0.5829787234042554	235
bestdemotivationalposter	0.7	0.9636363636363636	0.3999999999999999	0.9272727272727272	110
com	0.6797642436149313	0.6630648330058939	0.3595284872298625	0.32612966601178783	2036
favorite	0.8125	0.625	0.625	0.25	16
part	0.6046511627906976	0.4883720930232558	0.20930232558139528	-0.023255813953488413	43
work	0.7028301886792453	0.37264150943396224	0.4056603773584906	-0.2547169811320755	212
out	0.6208791208791209	0.5082417582417582	0.2417582417582418	0.016483516483516425	364
memegenerator	0.7	0.875	0.3999999999999999	0.75	160
its	0.6022727272727273	0.5340909090909091	0.20454545454545459	0.06818181818181812	88
gonna	0.6538461538461539	0.5769230769230769	0.3076923076923077	0.15384615384615374	26
al	0.75	0.5	0.5	0.0	20
long	0.6091954022988506	0.45977011494252873	0.21839080459770122	-0.08045977011494254	87
ass	0.5966386554621849	0.5042016806722689	0.19327731092436973	0.008403361344537785	119
day	0.6307692307692307	0.4269230769230769	0.2615384615384615	-0.14615384615384613	260
make	0.6360708534621579	0.534621578099839	0.2721417069243157	0.06924315619967802	621
sandwich	0.725	0.9083333333333333	0.44999999999999996	0.8166666666666667	120
diet	0.5384615384615384	0.5384615384615384	0.07692307692307687	0.07692307692307687	13
coke	0.2857142857142857	0.7142857142857143	-0.4285714285714286	0.4285714285714286	14
milf	0.44339622641509435	0.5660377358490566	-0.1132075471698113	0.13207547169811318	106
go	0.6286919831223629	0.45569620253164556	0.2573839662447257	-0.08860759493670889	474
say	0.6129753914988815	0.47874720357941836	0.22595078299776294	-0.04250559284116329	447
again	0.6422018348623854	0.3944954128440367	0.2844036697247707	-0.2110091743119265	109
by	0.6184738955823293	0.4939759036144578	0.2369477911646587	-0.012048192771084432	249
quarantine	0.6631578947368421	0.12631578947368421	0.3263157894736841	-0.7473684210526317	95
over	0.5901639344262295	0.4344262295081967	0.180327868852459	-0.13114754098360665	122
read	0.6666666666666666	0.42592592592592593	0.33333333333333326	-0.14814814814814814	54
new	0.6336633663366337	0.47029702970297027	0.26732673267326734	-0.05940594059405946	202
book	0.5	0.6875	0.0	0.375	16
skill	0.6666666666666666	0.5333333333333333	0.33333333333333326	0.06666666666666665	15
house	0.7298136645962733	0.10559006211180125	0.45962732919254656	-0.7888198757763976	322
then	0.6143790849673203	0.48366013071895425	0.2287581699346406	-0.03267973856209144	153
what	0.6485623003194888	0.476038338658147	0.2971246006389776	-0.04792332268370597	626
lack	0.45454545454545453	0.2727272727272727	-0.09090909090909088	-0.4545454545454546	11
public	0.6363636363636364	0.6363636363636364	0.2727272727272727	0.2727272727272727	22
yes	0.5842696629213483	0.4943820224719101	0.1685393258426966	-0.011235955056179803	89
damn	0.627906976744186	0.5581395348837209	0.2558139534883721	0.11627906976744184	43
since	0.6363636363636364	0.6060606060606061	0.2727272727272727	0.21212121212121215	33
wear	0.5692307692307692	0.7692307692307693	0.1384615384615384	0.5384615384615385	65
wife	0.54	0.4	0.08000000000000007	-0.19999999999999996	400
truck	0.8571428571428571	0.6190476190476191	0.7142857142857142	0.23809523809523814	21
tell	0.6294820717131474	0.4342629482071713	0.2589641434262948	-0.1314741035856573	251
mine	0.5555555555555556	0.3888888888888889	0.11111111111111116	-0.22222222222222227	18
man	0.5716911764705882	0.6029411764705882	0.1433823529411764	0.2058823529411764	544
memecrunch	0.8405797101449275	0.2463768115942029	0.681159420289855	-0.5072463768115942	69
know	0.6739130434782609	0.4751552795031056	0.34782608695652173	-0.04968944099378886	322
his	0.6008403361344538	0.3445378151260504	0.2016806722689075	-0.31092436974789917	238
but	0.6490683229813664	0.38975155279503104	0.2981366459627328	-0.22049689440993792	644
funny	0.651685393258427	0.6292134831460674	0.303370786516854	0.2584269662921348	89
quickmeme	0.6899563318777293	0.9039301310043668	0.3799126637554586	0.8078602620087336	229
ban	0.6363636363636364	0.45454545454545453	0.2727272727272727	-0.09090909090909088	11
an	0.6136363636363636	0.4577922077922078	0.2272727272727273	-0.08441558441558433	308
only	0.5805084745762712	0.5211864406779662	0.1610169491525424	0.04237288135593231	236
return	0.6296296296296297	0.25925925925925924	0.2592592592592593	-0.48148148148148145	27
protest	0.38461538461538464	0.6153846153846154	-0.23076923076923078	0.23076923076923084	13
american	0.5555555555555556	0.37037037037037035	0.11111111111111116	-0.2592592592592593	27
power	0.6875	0.46875	0.375	-0.0625	32
white	0.7107438016528925	0.36363636363636365	0.42148760330578505	-0.2727272727272727	121
way	0.6593406593406593	0.5164835164835165	0.31868131868131866	0.03296703296703307	91
someone	0.6020408163265306	0.30612244897959184	0.20408163265306123	-0.3877551020408163	98
league	0.4444444444444444	0.1111111111111111	-0.11111111111111116	-0.7777777777777777	9
start	0.6470588235294118	0.4117647058823529	0.2941176470588236	-0.17647058823529416	153
male	0.4881889763779528	0.4645669291338583	-0.023622047244094446	-0.0708661417322834	127
2019	0.5833333333333334	0.4166666666666667	0.16666666666666674	-0.16666666666666657	36
just	0.576171875	0.46875	0.15234375	-0.0625	512
identify	0.6	0.2	0.19999999999999996	-0.6000000000000001	15
yourself	0.5116279069767442	0.3488372093023256	0.023255813953488413	-0.3023255813953489	43
as	0.5952380952380952	0.4523809523809524	0.19047619047619047	-0.09523809523809529	252
strong	0.5384615384615384	0.6346153846153846	0.07692307692307687	0.26923076923076916	52
independent	0.7222222222222222	0.8333333333333334	0.4444444444444444	0.6666666666666667	18
modern	0.6666666666666666	0.48148148148148145	0.33333333333333326	-0.037037037037037146	27
problem	0.5454545454545454	0.43636363636363634	0.09090909090909083	-0.12727272727272737	55
require	0.5333333333333333	0.3333333333333333	0.06666666666666665	-0.3333333333333334	15
solution	0.5625	0.5	0.125	0.0	16
while	0.6526315789473685	0.4105263157894737	0.3052631578947369	-0.1789473684210527	95
obviously	0.5	0.6	0.0	0.19999999999999996	10
more	0.6415094339622641	0.5660377358490566	0.28301886792452824	0.13207547169811318	212
important	0.8	0.45	0.6000000000000001	-0.10000000000000003	20
than	0.6227544910179641	0.5269461077844312	0.2455089820359282	0.05389221556886237	167
some	0.6338797814207651	0.4262295081967213	0.26775956284153013	-0.14754098360655737	183
silly	0.5833333333333334	0.75	0.16666666666666674	0.5	12
would	0.6162162162162163	0.5459459459459459	0.2324324324324325	0.09189189189189184	185
end	0.6	0.3230769230769231	0.19999999999999996	-0.35384615384615387	65
our	0.6129032258064516	0.28225806451612906	0.22580645161290325	-0.43548387096774194	124
relationship	0.524390243902439	0.2926829268292683	0.04878048780487809	-0.4146341463414634	82
something	0.6666666666666666	0.45045045045045046	0.33333333333333326	-0.09909909909909903	111
afraid	0.625	0.375	0.25	-0.25	16
continue	0.7	0.4	0.3999999999999999	-0.19999999999999996	10
because	0.6161616161616161	0.5420875420875421	0.23232323232323226	0.08417508417508412	297
choose	0.5161290322580645	0.5161290322580645	0.032258064516129004	0.032258064516129004	31
such	0.46875	0.53125	-0.0625	0.0625	32
respect	0.6341463414634146	0.6097560975609756	0.2682926829268293	0.2195121951219512	41
give	0.5297297297297298	0.4864864864864865	0.05945945945945952	-0.027027027027026973	185
legal	0.36363636363636365	0.5454545454545454	-0.2727272727272727	0.09090909090909083	11
14	0.6666666666666666	0.2807017543859649	0.33333333333333326	-0.4385964912280702	57
well	0.67	0.515	0.3400000000000001	0.030000000000000027	200
water	0.7906976744186046	0.13953488372093023	0.5813953488372092	-0.7209302325581395	43
witch	0.7142857142857143	0.06593406593406594	0.4285714285714286	-0.8681318681318682	91
c	0.7217391304347827	0.5304347826086957	0.4434782608695653	0.0608695652173914	115
5	0.6901408450704225	0.34507042253521125	0.380281690140845	-0.3098591549295775	142
e	0.7380952380952381	0.4166666666666667	0.4761904761904763	-0.16666666666666657	84
why	0.6253968253968254	0.5396825396825397	0.2507936507936508	0.0793650793650793	315
charge	0.35714285714285715	0.35714285714285715	-0.28571428571428564	-0.28571428571428564	14
000	0.6785714285714286	0.32142857142857145	0.3571428571428572	-0.35714285714285715	28
idea	0.7441860465116279	0.3023255813953488	0.4883720930232558	-0.39534883720930236	43
outside	0.72	0.24	0.43999999999999995	-0.52	25
tho	0.7777777777777778	0.3333333333333333	0.5555555555555556	-0.3333333333333334	9
horse	0.6666666666666666	0.6111111111111112	0.33333333333333326	0.22222222222222232	18
three	0.71875	0.40625	0.4375	-0.1875	32
piece	0.7	0.45	0.3999999999999999	-0.10000000000000003	20
suit	0.3	0.6	-0.39999999999999997	0.19999999999999996	10
look	0.6120689655172413	0.5977011494252874	0.22413793103448265	0.1954022988505748	348
absolutely	0.8181818181818182	0.36363636363636365	0.6363636363636365	-0.2727272727272727	11
access	0.75	0.25	0.5	-0.5	8
imgflip	0.6627318718381113	0.45531197301854975	0.32546374367622266	-0.08937605396290049	593
left	0.7142857142857143	0.47619047619047616	0.4285714285714286	-0.04761904761904767	42
exit	0.8125	0.5	0.625	0.0	16
12	0.625	0.35	0.25	-0.30000000000000004	80
equal	0.7611940298507462	0.8955223880597015	0.5223880597014925	0.791044776119403	67
everyone	0.7906976744186046	0.3023255813953488	0.5813953488372092	-0.39534883720930236	86
bad	0.7387387387387387	0.5225225225225225	0.4774774774774775	0.04504504504504503	111
feminists	0.7619047619047619	0.9841269841269841	0.5238095238095237	0.9682539682539681	63
people	0.656	0.248	0.31200000000000006	-0.504	250
feeling	0.95	0.3	0.8999999999999999	-0.39999999999999997	20
money	0.6559139784946236	0.43010752688172044	0.31182795698924726	-0.13978494623655907	93
lot	0.6779661016949152	0.576271186440678	0.35593220338983045	0.15254237288135597	59
toilet	0.835820895522388	0.11940298507462686	0.6716417910447761	-0.7611940298507462	67
paper	0.7931034482758621	0.13793103448275862	0.5862068965517242	-0.7241379310344827	58
o	0.625	0.5535714285714286	0.25	0.1071428571428572	112
die	0.5842696629213483	0.3258426966292135	0.1685393258426966	-0.348314606741573	89
call	0.7173333333333334	0.21866666666666668	0.43466666666666676	-0.5626666666666666	375
duty	0.7777777777777778	0.18518518518518517	0.5555555555555556	-0.6296296296296298	27
random	0.6956521739130435	0.2608695652173913	0.3913043478260869	-0.47826086956521735	23
number	0.5483870967741935	0.25806451612903225	0.09677419354838701	-0.4838709677419355	31
accidentally	0.55	0.25	0.10000000000000009	-0.5	20
could	0.5904761904761905	0.3904761904761905	0.18095238095238098	-0.2190476190476191	105
help	0.6538461538461539	0.3974358974358974	0.3076923076923077	-0.20512820512820523	78
myself	0.6551724137931034	0.2413793103448276	0.31034482758620685	-0.5172413793103448	29
tweet	0.5	0.375	0.0	-0.25	8
today	0.71875	0.3958333333333333	0.4375	-0.20833333333333343	96
29	0.5	0.16666666666666666	0.0	-0.6666666666666667	18
am	0.6428571428571429	0.35714285714285715	0.2857142857142858	-0.28571428571428564	56
baby	0.5483870967741935	0.3387096774193548	0.09677419354838701	-0.3225806451612904	62
think	0.6095890410958904	0.4554794520547945	0.2191780821917808	-0.08904109589041104	292
deliver	0.5454545454545454	0.18181818181818182	0.09090909090909083	-0.6363636363636362	11
want	0.5957446808510638	0.5585106382978723	0.1914893617021276	0.11702127659574457	376
world	0.6	0.44545454545454544	0.19999999999999996	-0.10909090909090913	110
burn	0.68	0.24	0.3600000000000001	-0.52	25
dont	0.6923076923076923	0.5	0.3846153846153846	0.0	26
always	0.6071428571428571	0.6428571428571429	0.2142857142857142	0.2857142857142858	112
drive	0.6909090909090909	0.8363636363636363	0.38181818181818183	0.6727272727272726	55
im	0.7297297297297297	0.4594594594594595	0.45945945945945943	-0.08108108108108109	37
sure	0.6875	0.453125	0.375	-0.09375	64
dump	0.8333333333333334	0.5555555555555556	0.6666666666666667	0.11111111111111116	18
load	0.8095238095238095	0.7619047619047619	0.6190476190476191	0.5238095238095237	21
code	0.8409090909090909	0.09090909090909091	0.6818181818181819	-0.8181818181818181	44
really	0.584	0.448	0.16799999999999993	-0.10400000000000004	125
hurt	0.7916666666666666	0.375	0.5833333333333333	-0.25	24
doctor	0.6744186046511628	0.3023255813953488	0.34883720930232553	-0.39534883720930236	43
bet	0.5789473684210527	0.42105263157894735	0.1578947368421053	-0.1578947368421053	19
slut	0.5813953488372093	0.8837209302325582	0.16279069767441867	0.7674418604651163	43
he	0.5710526315789474	0.36578947368421055	0.14210526315789473	-0.2684210526315789	380
love	0.6538461538461539	0.45054945054945056	0.3076923076923077	-0.09890109890109894	182
much	0.580952380952381	0.5047619047619047	0.161904761904762	0.00952380952380949	105
here	0.6811594202898551	0.42028985507246375	0.3623188405797102	-0.1594202898550725	138
haha	0.4782608695652174	0.43478260869565216	-0.04347826086956519	-0.13043478260869573	23
grand	0.75	0.16666666666666666	0.5	-0.6666666666666667	12
pick	0.5227272727272727	0.38636363636363635	0.045454545454545414	-0.2272727272727273	44
wrong	0.5507246376811594	0.6376811594202898	0.10144927536231885	0.2753623188405796	69
fool	0.42857142857142855	0.21428571428571427	-0.14285714285714285	-0.5714285714285714	14
lose	0.6938775510204082	0.3877551020408163	0.3877551020408163	-0.22448979591836737	98
thousand	0.6	0.4	0.19999999999999996	-0.19999999999999996	15
point	0.5333333333333333	0.4666666666666667	0.06666666666666665	-0.06666666666666665	45
win	0.5454545454545454	0.4772727272727273	0.09090909090909083	-0.045454545454545414	44
cup	0.7272727272727273	0.36363636363636365	0.4545454545454546	-0.2727272727272727	11
probably	0.6551724137931034	0.3793103448275862	0.31034482758620685	-0.24137931034482762	29
shirt	0.7058823529411765	0.8823529411764706	0.41176470588235303	0.7647058823529411	17
from	0.6121794871794872	0.3685897435897436	0.22435897435897445	-0.2628205128205128	312
little	0.651685393258427	0.43820224719101125	0.303370786516854	-0.12359550561797755	89
kick	0.6875	0.625	0.375	0.25	16
dr	0.5714285714285714	0.14285714285714285	0.1428571428571428	-0.7142857142857144	14
gaming	0.5625	0.3125	0.125	-0.375	16
until	0.7	0.6	0.3999999999999999	0.19999999999999996	30
all	0.6234096692111959	0.46055979643765904	0.2468193384223918	-0.07888040712468186	393
even	0.5876288659793815	0.4845360824742268	0.17525773195876293	-0.030927835051546337	97
sad	0.625	0.3125	0.25	-0.375	16
husband	0.5	0.5657894736842105	0.0	0.13157894736842102	76
complain	0.5555555555555556	0.7407407407407407	0.11111111111111116	0.4814814814814814	27
weight	0.5555555555555556	0.6111111111111112	0.11111111111111116	0.22222222222222232	18
gym	0.46153846153846156	0.5384615384615384	-0.07692307692307687	0.07692307692307687	26
3	0.6523809523809524	0.3619047619047619	0.3047619047619048	-0.27619047619047615	210
month	0.625	0.39285714285714285	0.25	-0.21428571428571436	56
manager	0.5454545454545454	0.6363636363636364	0.09090909090909083	0.2727272727272727	11
picture	0.5555555555555556	0.6190476190476191	0.11111111111111116	0.23809523809523814	63
later	0.5333333333333333	0.28888888888888886	0.06666666666666665	-0.4222222222222223	45
ch	0.8461538461538461	0.15384615384615385	0.6923076923076923	-0.6923076923076923	13
à	0.5	0.5	0.0	0.0	6
®	0.5384615384615384	0.5384615384615384	0.07692307692307687	0.07692307692307687	13
°	0.5333333333333333	0.5	0.06666666666666665	0.0	30
same	0.6309523809523809	0.44047619047619047	0.26190476190476186	-0.11904761904761907	84
bitch	0.6138613861386139	0.7128712871287128	0.2277227722772277	0.4257425742574257	101
order	0.5	0.4444444444444444	0.0	-0.11111111111111116	36
pizza	0.42105263157894735	0.2631578947368421	-0.1578947368421053	-0.4736842105263159	19
bar	0.5	0.5	0.0	0.0	24
spend	0.6216216216216216	0.3783783783783784	0.2432432432432432	-0.2432432432432432	37
college	0.7407407407407407	0.5555555555555556	0.4814814814814814	0.11111111111111116	27
gender	0.6338028169014085	0.49295774647887325	0.267605633802817	-0.014084507042253502	71
study	0.64	0.24	0.28	-0.52	25
job	0.6428571428571429	0.5238095238095238	0.2857142857142858	0.04761904761904767	84
blame	0.5294117647058824	0.4117647058823529	0.05882352941176472	-0.17647058823529416	17
misogyny	0.5609756097560976	0.5121951219512195	0.12195121951219523	0.024390243902439046	41
wait	0.6344086021505376	0.2903225806451613	0.26881720430107525	-0.41935483870967744	93
train	0.5	0.5	0.0	0.0	12
drunk	0.5555555555555556	0.4074074074074074	0.11111111111111116	-0.18518518518518517	27
guy	0.5263157894736842	0.5052631578947369	0.05263157894736836	0.010526315789473717	190
come	0.6666666666666666	0.40555555555555556	0.33333333333333326	-0.18888888888888888	180
asked	0.4	0.2	-0.19999999999999996	-0.6000000000000001	10
fuck	0.6608187134502924	0.4152046783625731	0.32163742690058483	-0.1695906432748538	171
prostitute	0.3611111111111111	0.31666666666666665	-0.27777777777777773	-0.3666666666666667	180
him	0.6	0.5384615384615384	0.19999999999999996	0.07692307692307687	65
4	0.6838235294117647	0.3161764705882353	0.36764705882352944	-0.36764705882352944	136
